season,PLAYER_ID,player,team,minutes,impact_off,impact_def,impact_total,sd_off,sd_def,waa_off,waa_def,waa_total,booker_score,booker_off,booker_def,rank
2018,203081,Damian Lillard,POR,2427,3.83,1.2,5.04,1.425,1.417,6.66,2.09,8.75,4.81,3.66,1.15,13
2018,203082,Terrence Ross,ORL,562,-0.36,-1.55,-1.91,1.403,1.442,-0.15,-0.63,-0.77,-1.82,-0.34,-1.48,192
2018,203083,Andre Drummond,DET,2327,0.2,0.92,1.12,1.404,1.429,0.36,1.63,2.0,1.07,0.2,0.88,57
2018,203084,Harrison Barnes,DAL,2316,-0.15,-0.03,-0.17,1.295,1.336,-0.25,-0.05,-0.3,-0.17,-0.14,-0.03,154
2018,203085,Austin Rivers,LAC,1843,-1.93,-2.3,-4.24,1.345,1.475,-2.69,-3.21,-5.89,-4.05,-1.85,-2.2,334
2018,203087,Jeremy Lamb,CHO,1763,0.42,0.71,1.13,1.531,1.499,0.53,0.91,1.44,1.08,0.4,0.68,68
2018,203089,John Henson,MIL,1767,-0.74,-0.26,-0.99,1.325,1.566,-0.99,-0.34,-1.33,-0.95,-0.7,-0.24,228
2018,203090,Maurice Harkless,POR,1170,-1.11,-0.07,-1.18,1.285,1.502,-0.93,-0.05,-0.98,-1.12,-1.06,-0.06,205
2018,203092,Tyler Zeller,BRK,1017,-0.75,0.43,-0.32,1.391,1.517,-0.58,0.33,-0.25,-0.31,-0.72,0.41,148
2018,203095,Evan Fournier,ORL,1647,-0.8,-0.56,-1.35,1.427,1.411,-0.94,-0.66,-1.6,-1.29,-0.76,-0.53,246
2018,203101,Miles Plumlee,ATL,833,-1.24,-1.28,-2.52,1.203,1.424,-0.73,-0.75,-1.48,-2.41,-1.19,-1.22,239
2018,203107,Tomas Satoransky,WAS,1494,-1.34,-0.68,-2.02,1.363,1.672,-1.45,-0.73,-2.18,-1.93,-1.28,-0.65,280
2018,203109,Jae Crowder,CLE,1866,0.99,0.79,1.78,1.199,1.423,1.48,1.17,2.65,1.7,0.95,0.75,50
2018,203110,Draymond Green,GSW,2057,0.82,4.8,5.62,1.36,1.481,1.26,7.34,8.6,5.37,0.79,4.58,14
2018,203112,Quincy Acy,BRK,1154,-0.92,-1.12,-2.04,1.242,1.493,-0.81,-0.99,-1.8,-1.95,-0.88,-1.07,261
2018,203114,Khris Middleton,MIL,2645,1.35,0.5,1.85,1.448,1.605,2.71,1.01,3.72,1.77,1.29,0.48,39
2018,203115,Will Barton,DEN,2387,-0.38,-0.76,-1.14,1.362,1.468,-0.67,-1.33,-2.0,-1.09,-0.37,-0.72,276
2018,203118,Mike Scott,WAS,1253,-0.68,-0.32,-1.0,1.49,1.542,-0.62,-0.29,-0.91,-0.96,-0.65,-0.31,201
2018,203121,Darius Miller,NOP,1685,-1.87,-1.05,-2.92,1.248,1.982,-2.22,-1.25,-3.47,-2.79,-1.79,-1.01,309
2018,203124,Kyle O'Quinn,NYK,1199,0.57,1.11,1.68,1.453,1.447,0.52,1.02,1.54,1.61,0.55,1.06,65
2018,203145,Kent Bazemore,ATL,1620,-1.13,-0.78,-1.91,1.339,1.522,-1.28,-0.89,-2.17,-1.82,-1.08,-0.75,279
2018,203186,Willie Reed,LAC,402,0.05,0.68,0.73,1.367,1.607,0.02,0.21,0.22,0.7,0.05,0.65,118
2018,203200,Justin Holiday,CHI,2021,-0.61,0.27,-0.34,1.273,1.442,-0.93,0.41,-0.52,-0.33,-0.58,0.25,168
2018,203210,JaMychal Green,MEM,1389,-0.82,-0.01,-0.83,1.36,1.459,-0.83,-0.01,-0.84,-0.8,-0.79,-0.01,197
2018,203382,Aron Baynes,BOS,1407,-0.07,-0.05,-0.12,1.246,1.325,-0.07,-0.05,-0.12,-0.11,-0.06,-0.05,139
2018,203457,Nerlens Noel,DAL,399,-0.42,-0.05,-0.47,1.283,1.408,-0.13,-0.02,-0.14,-0.45,-0.4,-0.05,140
2018,203458,Alex Len,PHO,1256,-2.43,-0.49,-2.92,1.317,1.436,-2.42,-0.49,-2.9,-2.79,-2.32,-0.47,301
2018,203459,Allen Crabbe,BRK,1964,-0.49,-1.15,-1.64,1.26,1.47,-0.74,-1.72,-2.46,-1.57,-0.47,-1.1,293
2018,203460,Andre Roberson,OKC,950,-1.49,0.98,-0.51,1.035,1.474,-1.08,0.71,-0.37,-0.49,-1.42,0.94,157
2018,203463,Ben McLemore,MEM,968,-0.64,-1.76,-2.41,1.347,1.524,-0.45,-1.24,-1.69,-2.3,-0.61,-1.68,251
2018,203468,CJ McCollum,POR,2692,2.23,1.64,3.87,1.46,1.421,4.29,3.17,7.46,3.7,2.13,1.57,16
2018,203469,Cody Zeller,CHO,571,0.13,1.42,1.55,1.222,1.534,0.05,0.59,0.64,1.48,0.13,1.36,98
